side,symbol,shares,price,date,state
buy,LLNW,1.00000000,7.96000000,2020-07-02T18:34:52.079000Z,filled
buy,GNUS,5.00000000,3.43000000,2020-07-02T18:35:28.601000Z,filled
sell,DJD,0.00000000,,2020-07-02T18:48:03.688000Z,cancelled
sell,GSAT,0.00000000,,2020-07-02T19:39:59.938000Z,cancelled
sell,GSAT,0.00000000,,2020-07-02T19:40:08.235000Z,cancelled
buy,INO,2.00000000,21.08000000,2020-07-02T17:59:09.023000Z,filled
sell,HEXO,4.00000000,0.73000000,2020-07-02T17:29:18.237000Z,filled
sell,CRBP,2.00000000,8.21000000,2020-07-02T17:28:01.307000Z,filled
buy,SPHD,3.00000000,33.12670000,2020-07-02T17:25:38.369000Z,filled
buy,INPX,0.00000000,,2020-07-02T18:20:30.884000Z,cancelled
buy,SIRI,1.00000000,5.86000000,2020-07-02T17:20:52.965000Z,filled
buy,SWCH,1.00000000,18.62000000,2020-07-02T17:15:59.442000Z,filled
sell,DBX,4.00000000,21.80000000,2020-07-02T15:24:46.029000Z,filled
buy,SNAP,2.00000000,23.75000000,2020-07-02T13:45:15.660000Z,filled
sell,DBX,0.00000000,,2020-07-02T15:00:14.043000Z,cancelled
sell,CRBP,0.00000000,,2020-07-02T17:27:49.371000Z,cancelled
buy,SWCH,0.00000000,,2020-07-02T17:15:48.231000Z,cancelled
sell,HPE,1.00000000,9.42000000,2020-07-01T18:10:17.487000Z,filled
buy,HPE,0.00000000,,2020-07-01T20:29:19.042000Z,cancelled
sell,INPX,3.00000000,1.36670000,2020-07-01T17:55:37.211000Z,filled
buy,INPX,0.00000000,,2020-07-02T17:59:10.943000Z,cancelled
buy,HEINY,1.00000000,46.08000000,2020-07-01T17:53:52.838000Z,filled
buy,NOK,8.00000000,4.36750000,2020-07-01T17:49:24.750000Z,filled
buy,NOK,0.00000000,,2020-07-01T17:49:13.856000Z,cancelled
sell,WORK,1.00000000,30.71000000,2020-07-01T17:29:32.562000Z,filled
sell,PD,0.00000000,,2020-07-01T22:00:06.879000Z,cancelled
sell,VBIV,4.00000000,2.91500000,2020-07-01T17:23:21.176000Z,filled
buy,MCHP,1.00000000,103.75000000,2020-07-01T17:21:15.989000Z,filled
sell,DELL,2.00000000,54.72000000,2020-07-01T17:07:48.446000Z,filled
sell,IDEX,2.00000000,1.61500000,2020-07-01T16:24:49.115000Z,filled
sell,IDEX,10.00000000,1.61500000,2020-07-01T16:24:32.005000Z,filled
sell,DISH,1.00000000,34.77000000,2020-07-01T16:22:26.455000Z,filled
sell,VKTX,2.00000000,7.16000000,2020-07-01T13:30:00.581000Z,filled
sell,DISH,1.00000000,34.73000000,2020-07-01T13:20:12.317000Z,filled
sell,WORK,0.00000000,,2020-07-01T17:29:06.156000Z,cancelled
buy,TOPS,77.00000000,0.13680000,2020-07-01T13:01:05.536000Z,filled
sell,VBIV,0.00000000,,2020-07-01T17:23:10.394000Z,cancelled
sell,VWAGY,0.00000000,,2020-07-01T20:30:07.369000Z,cancelled
sell,HPE,0.00000000,,2020-07-01T18:09:54.904000Z,cancelled
sell,SIRI,2.00000000,5.88000000,2020-07-01T13:30:01.161000Z,filled
sell,PD,0.00000000,,2020-07-01T17:24:12.120000Z,cancelled
sell,BDJ,0.00000000,,2020-07-02T20:40:04.429000Z,cancelled
buy,BAC,2.00000000,23.70000000,2020-07-01T14:46:38.580000Z,filled
buy,NOK,0.00000000,,2020-07-01T17:44:35.912000Z,cancelled
buy,NOK,0.00000000,,2020-06-30T22:00:03.012000Z,cancelled
sell,DISH,0.00000000,,2020-07-01T16:22:15.595000Z,cancelled
sell,DBX,0.00000000,,2020-07-02T15:00:05.166000Z,cancelled
sell,APLE,2.00000000,9.83000000,2020-06-30T16:38:12.615000Z,filled
buy,DGII,1.00000000,11.36000000,2020-06-30T16:37:43.803000Z,filled
sell,INPX,0.00000000,,2020-06-30T20:40:01.777000Z,cancelled
buy,NSIT,1.00000000,49.70000000,2020-06-30T15:14:49.397000Z,filled
buy,VWAGY,1.00000000,15.89000000,2020-06-30T13:30:01.070000Z,filled
buy,SIRI,0.00000000,,2020-06-30T20:25:03.339000Z,cancelled
buy,SIRI,0.00000000,,2020-06-29T21:53:43.378000Z,cancelled
sell,SIRI,0.00000000,,2020-07-06T15:11:16.064000Z,cancelled
sell,BDJ,0.00000000,,2020-07-01T03:18:13.987669Z,cancelled
sell,BDJ,0.00000000,,2020-07-01T03:18:17.250102Z,cancelled
sell,PLUG,4.00000000,8.27000000,2020-06-30T13:30:02.456000Z,filled
sell,LLNW,1.00000000,7.37000000,2020-06-29T21:00:09.364000Z,filled
buy,PLUG,2.00000000,8.00000000,2020-06-29T17:00:22.027000Z,filled
buy,CRBP,2.00000000,7.75000000,2020-06-29T13:36:11.993000Z,filled
sell,SIRI,0.00000000,,2020-06-29T21:48:15.045000Z,cancelled
sell,HPE,0.00000000,,2020-06-29T20:40:29.812000Z,cancelled
sell,DGII,5.00000000,10.70000000,2020-06-26T17:27:01.260000Z,filled
sell,BUD,1.00000000,48.36000000,2020-06-26T15:56:52.304000Z,filled
sell,DGII,0.00000000,,2020-06-26T16:36:50.416000Z,cancelled
sell,PLUG,3.00000000,6.83330000,2020-06-26T15:49:53.697000Z,filled
buy,IDEX,6.00000000,1.41500000,2020-06-26T15:43:50.687000Z,filled
sell,DISH,0.00000000,,2020-06-26T15:46:17.223000Z,cancelled
buy,KTOV,0.00000000,,2020-06-30T16:30:40.427000Z,cancelled
sell,SWCH,1.00000000,18.25000000,2020-06-25T15:04:49.465000Z,filled
buy,VKTX,2.00000000,7.52000000,2020-06-24T19:45:24.937000Z,filled
sell,SWCH,0.00000000,,2020-06-24T22:00:06.615000Z,cancelled
sell,PSEC,1.00000000,5.28000000,2020-06-24T19:04:11.117000Z,filled
buy,WORK,1.00000000,31.86000000,2020-06-24T19:02:58.894000Z,filled
sell,DJD,0.00000000,,2020-07-02T18:02:38.808000Z,cancelled
sell,APLE,0.00000000,,2020-06-30T16:38:00.829000Z,cancelled
sell,IDEX,2.00000000,2.51500000,2020-06-24T14:37:16.874000Z,filled
buy,DELL,1.00000000,55.66000000,2020-06-24T12:58:06.235000Z,filled
buy,MSFT,1.00000000,201.50000000,2020-06-24T12:58:06.781000Z,filled
sell,APLE,0.00000000,,2020-06-24T15:10:36.847000Z,cancelled
buy,DISH,1.00000000,34.65000000,2020-06-24T13:30:02.111000Z,filled
buy,DELL,0.00000000,,2020-06-24T01:58:59.962510Z,cancelled
buy,HEINY,0.00000000,,2020-06-24T01:23:51.620287Z,cancelled
buy,DBX,0.00000000,,2020-06-24T01:23:33.705356Z,cancelled
buy,TMFC,0.00000000,,2020-06-24T02:00:36.231657Z,cancelled
